"entreprise","no_civique","rue_local","code_postal","entreprise_tel","scian_principal"
"CLUB DE CURLING DE SHERBROOKE",83,"Rue des Abénaquis","J1H 1H1","819 562-8222","Centre De Sports Recreatifs Et De Conditionnement Physique"
"CLUB DE DANSE COUNTRY DE L'ESTRIE",140,"Rue Castonguay","J1C 0L8","819 636-0505","Tous Les Autres Services De Divertissement Et De Loisirs"
"CLUB DE GOLF DE SHERBROOKE INC.",1000,"Rue Musset","J1J 3X4","819 569-6534","Terrains De Golf Et Country Club"
"CLUB DE GOLF DES ÉCOSSAIS",2690,"Chemin des Écossais","J1H 0A7","819 564-9292","Terrains De Golf Et Country Club"
"CLUB DE GOLF MILBY INC.",2200,"Chemin Bowers","J1M 0B9","819 562-4260","Terrains De Golf Et Country Club"
"CLUB DE MOTONEIGE HARFANG DE L'ESTRIE",191,"Rue des PME","J1C 0R2",NA,"Organisations Civiques Et Amicales"
"CLUB DE PATINAGE DE VITESSE",350,"Rue Terrill","J1E 3S7","819 823-5194","Equipes Sportives"
"CLUB DE RUGBY ABENAKIS DE SHERBROOKE",350,"Rue Terrill","J1E 3S7","819 679-5812","Equipes Sportives"
"CLUB DE SOCCER MISTRAL DE SHERBROOKE",350,"Rue Terrill","J1E 3S7","819 566-4484","Equipes Sportives"
"CLUB DE TIR DE LENNOXVILLE",22,"Rue Beattie","J1M 0A1","819 564-9007","Organisations Civiques Et Amicales"
"CLUB ENTREPÔT",470,"Rue Wellington Sud","J1H 5E4","819 569-4760","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"CLUB L’ENVOLLEY",2959,"Boulevard de l'Université","J1K 2X6","819 780-9644","Organisations Civiques Et Amicales"
"CLUB LE GARDE-ROBE",1576,"Rue King Ouest","J1J 2C3","819 679-7178","Magasins De Vetements Pour La Famille"
"CLUB NAUTIQUE DE SHERBROOKE",2255,"Rue de la Pointe","G1K 5Y4","819 821-5835","Tous Les Autres Etablissements De Formation Et D'Education"
"CLUB NAUTIQUE DU PETIT LAC MAGOG INC.",8683,"Rue Saroy","J1N 3J4","819 864-6130","Tous Les Autres Services De Divertissement Et De Loisirs"
"CLUB OPTIMISTE ROCK FOREST",4505,"Chemin Saint-Roch Nord","J1R 0K7","819 347-3528","Bibliotheques"
"CLUB PISCINE SUPER FITNESS",4275,"Boulevard Bourque","J1N 1S4","819 822-2582","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"CLUB PISCINE SUPER FITNESS (ENTREPOSAGE)",4831,"Rue des Partisans","J1N 0M6",NA,"Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"CLUB PLEIN AIR ALTITUDE",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"CLUB TISSUS",1279,"Rue Grégoire","J1N 1S7","819 569-8104","Magasins D'Articles De Couture Et De Travaux D'Aiguille Et De Tissus A La Piece"
"CLUB VOYAGE ORFORD",743,"Rue Paul-Desruisseaux","J1J 4L9","819 563-7131","Agences De Voyages"
"CME LES LOUPIOTS",35,"Rue J.-A.-Bombardier","J1L 1W3","819 575-0531","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"COALITION SHERBROOKOISE POUR LE TRAVAIL DE RUE",33,"Rue Brooks","J1H 4X7","819 822-1736","Organisme D'Action Sociale"
"COASTAL JIBS INC.",4085,"Rue Lesage","J1L 2Z9","819 238-5427","Toutes Les Autres Activites Diverses De Fabrication"
"COCO FRUTTI (BOUL. BOURQUE)",4857,"Boulevard Bourque","J1N 2G6","819 572-8999","Restaurants A Service Complet"
"COCO FRUTTI (RUE KING E)",1235,"Rue King Est","J1G 1E6","819 791-2975","Restaurants A Service Complet"
"COCO FRUTTI (RUE KING O)",3005,"Rue King Ouest","J1L 1C7","819 791-2038","Restaurants A Service Complet"
"COCO LA-THÉ",395,"10e Avenue Sud","J1G 2R8","819 919-3007","Etablissements De Restauration A Service Restreint"
"COCOFRUTTI (RUE BELVÉDÈRE S)",416,"Rue Belvédère Sud","J1H 4B7","819 933-6010","Restaurants A Service Complet"
"COFFRAGE SYLVAIN ET FRANÇOIS BELLEAU",295,"Rue Léger","J1L 0C4","819 563-0273","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"COFFRAGES MT",492,"Rue Léger","J1L 1Y5",NA,"Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"COFFREX CONSTRUCTION",2705,"Rue Roméo-Lacroix","J1N 0H1","819 481-0718","Tous Les Autres Entrepreneurs Specialises"
"COGECO MEDIA (107,7 ESTRIE)",4020,"Boulevard de Portland","J1L 2V6","819 822-0937","Radiodiffusion"
"COIF-DEN ENR.",875,"Rue Galt Est","J1G 1Y6","819 564-4614","Salons De Coiffure Pour Homme"
"COIFFURE & BARBIER B.G.",125,"Rue Alexandre","J1H 4S5","819 919-6776","Salons De Coiffure Pour Homme"
"COIFFURE CAMPUS",2500,"Boulevard de l'Université","J1K 2R1","819 821-7625","Salons De Coiffure Mixtes"
"COIFFURE CARPE DIEM",2748,"Rue Galt Ouest","J1K 2V8","819 346-4774","Salons De Coiffure Mixtes"
"COIFFURE CATOGAN",1313,"Rue Saint-Gilles","J1H 3C1","873 200-6412","Salons De Coiffure Mixtes"
"COIFFURE CHATELAINE",1189,"Rue King Ouest","J1H 1S6","819 563-9818","Salons De Coiffure Mixtes"
"COIFFURE CHEZ JO",7380,"Rue Saint-Francois Nord","J1C 0A4","819 919-0604","Salons De Coiffure Mixtes"
"COIFFURE CHRISTINE LEDOUX",200,"Rue Fraser","J1J 2V4","819 674-7430","Salons De Coiffure Mixtes"
"COIFFURE CIZO",432,"7e Avenue Sud","J1G 2N2","819 346-0303","Salons De Coiffure Mixtes"
"COIFFURE CLIN D'OEIL ",910,"12e Avenue Nord","J1E 2X3","819 821-2022","Salons De Coiffure Mixtes"
"COIFFURE CONCEPT ENR.",312,"Rue de Candiac","J1L 1G8","819 822-3370","Salons De Coiffure Mixtes"
"COIFFURE COUETTES & CAFÉ",539,"Rue Allard","J1G 5H7","819 569-0166","Salons De Coiffure Mixtes"
"COIFFURE CRÉATION THALY",531,"Rue du Conseil","J1G 1J9","819 446-1743","Salons De Coiffure Mixtes"
"COIFFURE DE FRANCE",1467,"Rue de Lisieux","J1K 2A9","819 346-8701","Salons De Coiffure Mixtes"
"COIFFURE DÉLICATH",1519,"Rue de l'Aeronca","J1E 1B6","819 345-9671","Salons De Coiffure Mixtes"
"COIFFURE ÉLEN-NA ENR.",1328,"Rue du Conseil","J1G 1N1","819 565-4518","Salons De Coiffure Mixtes"
"COIFFURE ÉLYSE",1158,"Rue des Tulipes","J1E 3X9","819 346-5705","Salons De Coiffure Mixtes"
"COIFFURE ET PRODUITS TOPCHIXX",930,"13e Avenue Nord","J1E 3J7","819 791-3293","Magasins D'Accessoires Vestimentaires"
"COIFFURE EXPRESS",200,"Rue St. Francis","J1M 0B3","819 348-0856","Salons De Coiffure Mixtes"
"COIFFURE FINE MÈCHE",1627,"Rue Denault","J1H 2R1","819 823-9290","Salons De Coiffure Mixtes"
"COIFFURE FLAIR",130,"Chemin Dion","J1R 0R8","819 340-9161","Salons De Coiffure Mixtes"
"COIFFURE GALIA INC.",216,"Rue Lomas","J1J 2R3","819 565-3031","Salons De Coiffure Mixtes"
"COIFFURE HAUTE TENSION",80,"Rue Laval","J1C 0P8","819 812-0767","Salons De Coiffure Mixtes"
"COIFFURE J'AI SIGNÉ",3232,"Rue Richard","J1L 1Y2","819 575-0604","Salons De Coiffure Mixtes"
"COIFFURE JACINTHE HÉBERT",442,"Boulevard Jacques-Cartier Nord","J1J 4E8","819 829-1156","Salons De Coiffure Mixtes"
"COIFFURE KYM",7249,"Chemin de Saint-Élie","J1R 0K5","819 822-2530","Salons De Coiffure Mixtes"
"COIFFURE MARIE-JO",5632,"Rue Rodrigue","J1N 3A5","819 864-1722","Salons De Coiffure Mixtes"
"COIFFURE MÉTAMORPHOSE POUR ELLE ET LUI",2227,"Rue King Ouest","J1J 2G2","819 347-1781","Salons De Coiffure Mixtes"
"COIFFURE NEL VENTO",6550,"Rue Émery-Fontaine","J1N 2S6","819 864-7711","Salons De Coiffure Mixtes"
"COIFFURE PERFORMANCE PLUS ENR.",148,"Chemin Dion","J1R 0R8","819 563-3866","Autres Services De Soins Personnels"
"COIFFURE PRÉLUDE 2010",463,"Rue Papineau","J1E 1X4","819 562-1000","Salons De Coiffure Mixtes"
"COIFFURE PURE GLAMOUR",69,"Route de Windsor","J1C 0E5","819 674-3880","Salons De Coiffure Mixtes"
"COIFFURE SIGNATURE ENR.",2180,"Boulevard de Portland","J1J 1V1","819 346-1988","Salons De Coiffure Mixtes"
"COIFFURE SMART STYLE",4050,"Boulevard Josaphat-Rancourt","J1L 3C6","819 823-2023","Services Photographiques"
"COIFFURE SOLEIL",1150,"Rue des Quatre-Saisons","J1E 3X3","819 822-1606","Salons De Coiffure Mixtes"
"COIFFURE SOLEIL DU MUSÉE",245,"Rue Frontenac","J1H 1K1","819 562-9976","Salons De Coiffure Mixtes"
"COIFFURE STATION",55,"Rue Saint-Lambert","J1C 0N7","819 674-6717","Salons De Coiffure Mixtes"
"COIFFURE TÊTE À TÊTE",1011,"Rue Belvédère Sud","J1H 4C6","819 564-2242","Salons De Coiffure Mixtes"
"COIFFURE VEXY",131,"Rue Clément","J1R 0A9","819 565-4004","Salons De Coiffure Mixtes"
"COIFFURE VIE DE ROSES",3787,"Rue de l'Indiana","J1N 2Y3","819 820-8923","Salons De Coiffure Mixtes"
"COIFHOM COIFELLE",4505,"Boulevard Bourque","J1N 3B9","819 564-2664","Salons De Coiffure Mixtes"
"COIN CENTER",233,"Rue Queen","J1M 1K5","819 565-8188","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"COJT MANAGEMENT",1576,"Rue King Ouest","J1J 2C3","819 791-1678","Services De Genie"
"COLETTE F. TAILLEUR ENR.",2227,"Rue King Ouest","J1J 2G2","819 562-4334","Magasins D'Articles De Couture Et De Travaux D'Aiguille Et De Tissus A La Piece"
"COLLECTIF LIBRE CHOIX",187,"Rue Laurier","J1H 4Z4","819 562-7338","Organisme D'Action Sociale"
"COLLÈGE CANADA",250,"Rue King Est","J1G 1A9",NA,"Colleges Communautaires Et Cegeps"
"COLLÈGE D’OSTÉOPATHIE DE SHERBROOKE",10,"Rue Bowen Sud","J1G 2C5","819 993-7721","Tous Les Autres Etablissements De Formation Et D'Education"
"COLLÈGE DE COMPTABILITÉ ET SECRÉTARIAT QUÉBEC INC. (CCSQ)",37,"Rue Wellington Nord","J1H 5A9","819 346-5000","Formation Professionnelle Et Perfectionnement En Gestion"
"COLLÈGE DU MONT-SAINTE-ANNE",2100,"Chemin de Sainte-Catherine","J1N 3V5","819 823-3003","Colleges Communautaires Et Cegeps"
"COLLÈGE FRONTIÈRE SHERBROOKE",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000 poste 63673","Tous Les Autres Etablissements De Formation Et D'Education"
"COLLÈGE MONT NOTRE-DAME",114,"Rue de la Cathédrale","J1H 4M1","819 563-4104","Ecoles Primaires Et Secondaires"
"COLLIERS INTERNATIONAL (RUE KING O)",1650,"Rue King Ouest","J1J 2C3","819 346-4390","Gestionnaires De Biens Immobiliers"
"COLMA-TECH FISSURE INC.",1001,"Chemin Dion","J1R 0R8","819 432-0326","Entrepreneurs En Travaux De Maconnerie"
"COLORI",3050,"Boulevard de Portland","J1L 1K1","819 348-8956","Magasins De Vetements Pour Femmes"
"COMBAT D'ARCHERS SHERBROOKE",1519,"Rue King Est","J1G 1E8","819 679-7369","Tous Les Autres Services De Divertissement Et De Loisirs"
"COMCO CONSTRUCTION INC.",3990,"Boulevard Industriel","J1L 2T8","819 820-2220","Tous Les Autres Entrepreneurs Specialises"
"COMFORT INN",4295,"Boulevard Bourque","J1N 1S4","819 564-4400","Hotels"
"COMITÉ ARTS ET CULTURE (JACQUES-CARTIER)",151,"Rue de l'Ontario","J1J 3P8","819 791-8873","Organisations Civiques Et Amicales"
"COMITÉ CPA",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisme D'Action Sociale"
"COMITÉ DE LA FÊTE NATIONALE EN ESTRIE",187,"Rue Laurier","J1H 4Z3","819 823-2424","Promoteurs (Diffuseurs) D'Evenements Artistiques, Sans Installations"
"COMITÉ DES TRAVAILLEURS ET TRAVAILLEUSES ACCIDENTÉES DE L'ESTRIE (CTTAE)",1949,"Rue Belvédère Sud","J1H 1Y3","819 566-4279","Organisme D'Action Sociale"
"COMITÉ PARITAIRE SUR L’INDUSTRIE DES SERVICES AUTOMOBILES DES CANTONS DE L’EST (CPA)",1150,"Rue Galt Est","J1G 1Y5","819 566-0616, 1 800 667-1083","Tous Les Autres Etablissements De Formation Et D'Education"
"COMITÉ ZÉRO DÉCHET U DE S",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisme D'Action Sociale"
"COMMISSION DE LA CONSTRUCTION DU QUÉBEC",2700,"Rue Galt Ouest","J1K 2V8","1 888-842-8282","Administration Publique Provinciale Et Territoriale"
"COMMISSION DES NORMES, DE L'ÉQUITÉ, DE LA SANTÉ ET DE LA SÉCURITÉ DU TRAVAIL (CNESST)",1650,"Rue King Ouest","J1J 2C3","1 844-838-0808","Administration Publique Provinciale Et Territoriale"
"COMMUN'ACTION SAINT JEANNE D'ARC",1010,"Rue Fairmount","J1H 3N3","819 239-9444","Organisations Civiques Et Amicales"
"COMMUNAUTÉ AUTOCHTONE DE SHERBROOKE",187,"Rue Laurier","J1H 4Z4","819 791-4811","Organisations Civiques Et Amicales"
"COMMUNICATION JEAN MALO INC.",216,"Avenue du Parc","J1N 1Y7","819 821-2230","Tous Les Autres Etablissements De Formation Et D'Education"
"COMMUNICATION NELSON BILODEAU CAFIT INC.",864,"Rue de la Galanterie","J1R 0E8","819 864-4545","Grossistes-Distributeurs De Composants Electroniques, Materiel Et Fournitures De Navigation Et De Communication"
"COMMUNICATION PLUS",4420,"Rue Ouimet","J1L 2G9","819 563-0133","Radiodiffusion"
"COMMUNICATIONS GRANT SIMÉON PHOTOGRAPHE",13,"Rue Connolly","J1M 1L8","819 565-4882","Services Photographiques"
"COMPAGNIE DE DANSE AXILE",250,"Rue du Dépôt","J1H 5G1","819 821-5401","Autres Compagnies D'Arts D'Interpretation"
"COMPAGNIE GÉNÉRAL BEARING",137,"Rue Wellington Sud","J1H 5C9","819 569-3238","Grossistes-Distributeurs De Machines, Materiel Et Fournitures D'Usage Professionnel"
"COMPAS EXPERT INDUSTRIEL INC.",335,"6e Avenue","J1G 2M5","819 565-3608","Services De Dessin Technique"
"COMPLEXE FUNÉRAIRE STEVE L. ELKAS",4230,"Rue Bertrand-Fabi","J1N 1X6","819 565-1155","Salons Funeraires"
"COMPLEXE HOCKEY BALLE SHERBROOKE",4270,"Rue Bertrand-Fabi","J1N 1X6","819 791-4881","Centre De Sports Recreatifs Et De Conditionnement Physique"
"COMPLEXE LES 4 BARS INC.",835,"13e Avenue Nord","J1E 3L5","819 565-3339","Debits De Boissons (Alcoolisees)"
"COMPOSITES BHS INC.",2880,"Boulevard Industriel","J1L 1V8","819 846-0810","Toutes Les Autres Activites Diverses De Fabrication"
"COMPRESSEURS ROBITAILLE INC.",4420,"Boulevard Industriel","J1L 2S8","1 877 788-7721","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"COMPTABILITÉ DL",5033,"Rue Bertrand-Fabi","J1N 0S7","819 565-0350","Cabinets De Comptables"
"COMPTABILITE G.S.",856,"Rue Farrand","J1N 2K1","819 864-7999","Cabinets De Comptables"
"COMPTABILITÉ SANSFACON",4346,"Rue Bertrand-Fabi","J1N 1Y7","819 446-4463","Cabinets De Comptables"
"COMPTANT ILLIMITÉ",268,"Rue King Ouest","J1H 1R1","819 566-3333","Magasins De Marchandises D'Occasion"
"COMPTOIR COMMUNAUTAIRE",385,"Rue Short","J1H 2E3","819 580-7134","Fondations Et Organismes De Charite"
"COMPTOIR FAMILIAL DE SHERBROOKE INC.",151,"Rue Bowen Nord","J1E 2C6","819 569-5336","Magasins De Marchandises D'Occasion"
"COMTOIR FAMILIAL",6630,"Rue Émery-Fontaine","J1N 2T3","819 864-1790","Magasins De Marchandises D'Occasion"
"CONCEPT BAM BEAUTÉ",155,"Chemin Duplessis","J1E 3C9","819 933-4433","Salons De Coiffure Mixtes"
"CONCEPT COIFFURE POUR LUI",1105,"Rue Beaudin","J1N 4C2","819 864-6474","Salons De Coiffure Pour Homme"
"CONCEPT ÉKILIBRE SHERBROOKE/ CROSSFIT SHERBROOKE",405,"Rue de Courcelette","J1H 3X4","819 542-1610","Centre De Sports Recreatifs Et De Conditionnement Physique"
"CONCEPT GALARNO",1033,"Rue de Kingston","J1G 2M7","819 678-0510","Tous Les Autres Entrepreneurs Specialises"
"CONCEPT GEEBEE",1150,"Rue Deschaillons","J1G 1X7","1 873 509-8003","Toutes Les Autres Activites Diverses De Fabrication"
"CONCEPT JP",2424,"Rue King Ouest","J1J 2E8","1 800-795-2595","Grossistes-Distributeurs D'Articles De Toilettes, De Cosmetiques Et D'Autres Produits"
"CONCEPT MULTI BOIS",4396,"Rue Ouimet","J1L 2A8","819 565-3308","Entrepreneurs En Petite Menuiserie"
"CONCEPT NOUVEL AIR",917,"Rue du Conseil","J1G 1L6","819 565-8205","Salons De Coiffure Mixtes"
"CONCEPTION ET FABRICATION SCALIFER INC.",4085,"Rue Lesage","J1L 2Z9","819 238-5427","FABRICATION D'AUTRES PRODUITS METALLIQUES D'ORNEMENT ET D'ARCHITECTURE"
"CONCEPTION NICOLE D.",1655,"Rue Dunant","J1H 4A3",NA,"Autres Services De Reparation Et D'Entretien  D'Articles Personnels Et Menagers"
"CONCERTACTION FEMMES ESTRIE",187,"Rue Laurier","J1H 4Z4","819 563-1987","Organisme D'Action Sociale"
"CONCERTO CONSULTATION ET FORMATION SUR MESURE INC.",4906,"Rue Henri","J1N 2H8","819 822-1337","Services De Conseils En Ressources Humaines Et En Recherche De Cadres"
"CONDUIT EXPERT ASBESTRIE",1700,"Boulevard de Portland","J1J 1T1","819 823-5454","Tous Les Autres Etablissements De Formation Et D'Education"
"CONFECTIONS L. DION",1237,"Rue King Est","J1G 1E6","819 569-5982","Magasins D'Articles De Couture Et De Travaux D'Aiguille Et De Tissus A La Piece"
"CONFÉDÉRATION DES SYNDICATS NATIONAUX ESTRIE",180,"Côte de l'Acadie","J1H 2T3","819 563-6515","Organisations Syndicales"
"CONFFECTI",745,"13e Avenue Nord","J1E 2Y7","873 662-2973","Boulangeries-Patisseries"
"CONFORT ADAPTÉ ET PLUS",553,"Rue King Est","J1G 1B6","819 829-8070","Magasins De Tous Les Autres Vetements"
"CONNEXION CHIROPRATIQUE",1191,"Rue King Ouest","J1H 1S6","819 562-1210","Cabinets De Chiropraticiens"
"CONSEIL DE GOUVERNANCE DE L'EAU GESTION DES BASSINS VERSANTS DE LA RIVIÈRE ST-FRANÇOIS (COGESAF)",5182,"Boulevard Bourque","J1N 1H4","819 864-1033","Organisme D'Action Sociale"
"CONSEIL DE L'INDUSTRIE BIOALIMENTAIRE DE L'ESTRIE (CIBLE)",4300,"Boulevard Bourque","J1N 2A6","819 346-8905","Organisme D'Action Sociale"
"CONSEIL DE LA CULTURE DE L'ESTRIE",15,"Rue Belvédère Nord","J1H 4A7","819 563-2744","Organisations Civiques Et Amicales"
"CONSEIL PROVINCIAL INTERNATIONAL CONSTRUCTION",1308,"Rue Grégoire","J1N 1S6","1 514 723-6555","Organisations Syndicales"
"CONSEIL RÉGIONAL DE L'ENVIRONNEMENT DE L'ESTRIE",165,"Rue Moore","J1H 1B8","819 821-4357","Services De Conseils En Environnement"
"CONSEIL RÉGIONAL FTQ ESTRIE",2144,"Rue King Ouest","J1J 2E8","819 562-3922","Organisations Syndicales"
"CONSEIL SPORT LOISIR DE L'ESTRIE - SPORTS QUÉBEC (CSLE)",5182,"Boulevard Bourque","J1N 1H4","819 864-0864","Organisations Civiques Et Amicales"
"CONSENSUS CLAUDE SÉVIGNY",401,"Rue du Prince-Rupert","J1G 1Z9","819 346-0080","Services De Conseils En Ressources Humaines Et En Recherche De Cadres"
"CONSERVATOIRE DE MUSIQUE DE L'ESTRIE",1112,"Rue du Conseil","J1G 1M5","819 562-3394","Tous Les Autres Etablissements De Formation Et D'Education"
"CONSORTIUM DE BEAUTÉ DOIGTS DE FÉE",2170,"Rue Prospect","J1J 4G2","819 823-8109","Salons De Coiffure Mixtes"
"CONSTRUCTION & PAVAGE DUJOUR",3804,"Rue Laplante","J1N 2V4","819 563-0666","Entrepreneurs En Preparation De Terrains"
"CONSTRUCTION 20-55 (RUE RODOLPHE RACINE)",282,"Rue Rodolphe-Racine","J1R 0S7","819 740-4842","Entrepreneurs En Preparation De Terrains"
"CONSTRUCTION DE L’ESTRIE",7540,"Boulevard Bourque","J1N 3K2","819 212-1792","Construction Residentielle"
"CONSTRUCTION ET RÉNOVATION JÉRÉMIE HOULE",4050,"Rue Lesage","J1L 0B6","819 575-6730","Tous Les Autres Entrepreneurs Specialises"
"CONSTRUCTION GERATEK LTÉE",790,"Rue de la Rand","J1H 1W7","819 564-2933","Construction Residentielle"
"CONSTRUCTION J5 INC.",8650,"Boulevard Bourque","J1N 0G2","819 481-0153","Construction Residentielle"
"CONSTRUCTION JLP",1557,"Rue King Est","J1G 1E8","819 566-2088","Construction Residentielle"
"CONSTRUCTION JTD AUBE",7160,"Boulevard Bourque","J1N 3L7","819 574-0264","Tous Les Autres Entrepreneurs Specialises"
"CONSTRUCTION LONGER INC.",175,"Rue Léger","J1L 1M2","819 564-0115","Tous Les Autres Entrepreneurs Specialises"
"CONSTRUCTION MASSAWIPPI",16,"Rue Elmwood","J1M 1R3","819 432-2991","Construction Residentielle"
"CONSTRUCTION MAURICE & CLAUDE LTÉE",1050,"Rue Talbot","J1G 2P2","819 563-3050","Entrepreneurs En Travaux De Vitrage Et De Vitrerie"
"CONSTRUCTION MAX-CED INC.",740,"Rue Katherine","J1N 0G6","819 843-3552","Construction Residentielle"
"CONSTRUCTION MAXIME VIENS",4340,"Rue Bertrand-Fabi","J1N 1Y7","819 239-9797","Construction Residentielle"
"CONSTRUCTION METAL EXPERT",6818,"Boulevard Bourque","J1N 1H2","819 566-5470","Entrepreneurs En Travaux De Parements"
"CONSTRUCTION MF GUILLEMETTE",215,"Rue Laval","J1C 0R1","819 846-4816","Construction Residentielle"
"CONSTRUCTION MICHAEL AUBUT",2461,"Chemin Duplessis","J1H 0C2","819 560-1882","Construction Residentielle"
"CONSTRUCTION PLAD",1020,"Rue Longpré","J1G 5B9","819 569-3557","Entrepreneurs En Travaux De Vitrage Et De Vitrerie"
"CONSTRUCTION R. ROUSSEAU",1302,"Rue François-Casey","J1G 5L4","819 822-2801","Entrepreneurs En Travaux De Vitrage Et De Vitrerie"
"CONSTRUCTION RÉNOVACTION",1315,"Rue du Vice-Roi","J1E 4L5","819 822-0711","Construction Residentielle"
"CONSTRUCTION ROGER LECLERC",2463,"Rue de l'Ivoire","J1N 3V7","819 566-7879","Tous Les Autres Entrepreneurs Specialises"
"CONSTRUCTION RPLH",8510,"Boulevard Bourque","J1N 0G2","819 345-9250","Construction Residentielle"
"CONSTRUCTION STÉPHANE FRÉCHETTE",5999,"Rue de la Frontière","J1N 3W2","819 564-1551","Construction Residentielle"
"CONSTRUCTION SYLVATECH",4385,"Rue Robitaille","J1L 2K2","819 791-5365","Tous Les Autres Entrepreneurs Specialises"
"CONSTRUCTION TURCO",6100,"Rue Bertrand-Fabi","J1N 2P3","819 864-9481","Construction Residentielle"
"CONSTRUCTION YVON PERREAULT",525,"Rue du Parc-Industriel","J1C 0J2","819 566-6888","Construction Residentielle"
"CONSTRUCTIONS ALAIN CLOUTIER",1030,"Rue de l'Ardoise","J1C 0B1","819 846-3955","Construction Residentielle"
"CONSTRUCTIONS BRIDALI INC.",3693,"Rue Fernand-Bachand","J1N 0J7","819 569-2627","Autres Services De Soins Personnels"
"CONSTRUCTIONS EDB",400,"Rue Laval","J1C 0R1","819 845-5436","Construction Residentielle"
"CONSTRUCTIONS FRANCIS VACHON",546,"Rue du Parc-Industriel","J1C 0J1","819 846-1515","Construction Residentielle"
"CONSTRUCTIONS GUY SÉBAS INC.",4420,"Rue Robitaille","J1L 0B5","819 566-7699","Construction Residentielle"
"CONSTRUCTIONS MORIN",9930,"Boulevard Bourque","J1N 0G2","819 847-0006","Construction Residentielle"
"CONSTRUCTIONS MPE",4455,"Rue James-Edwards","J1L 0B3","819 566-6080","Tous Les Autres Entrepreneurs Specialises"
"CONTINENTALE COIFFURE",3050,"Boulevard de Portland","J1L 1K1","819 821-2825","Salons De Coiffure Mixtes"
"COOPER STANDARD",4870,"Rue Robert-Boyd","J1R 0W8","819 562-4440","Fabrication De Toutes Les Autres Machines D'Usage Général"
"COOPÉRATIVE D'ALENTOUR",4740,"Boulevard Industriel","J1L 0C7","819 562-3443","Tous Les Autres Magasins D'Alimentation Specialisee"
"COOPÉRATIVE D'HABITATION DE LA MONTAGNE",1455,"Rue de Kingston","J1H 3S1","819 822-8953","Bailleurs D'Immeubles Residentiels Et De Logements (Sauf Les Ensembles De Logements Sociaux)"
"COOPÉRATIVE D'HABITATION DES CANTONS DE L'EST",548,"Rue Dufferin","J1H 4N1","819 566-6303","Bailleurs D'Immeubles Residentiels Et De Logements (Sauf Les Ensembles De Logements Sociaux)"
"COOPÉRATIVE D'HABITATION LA RIVE GAUCHE",2525,"Rue Galt Ouest","J1K 1L7","819 564-4004","Bailleurs D'Immeubles Residentiels Et De Logements (Sauf Les Ensembles De Logements Sociaux)"
"COOPÉRATIVE DE CAMPING DE L'ÎLE MARIE DE SHERBROOKE",225,"Rue St. Francis","J1M 0B3","819 820-0330","Parcs Pour Vehicules De Plaisance Et Camping"
