NAME,BUSINESS_DESC,TYPE_CODE,TYPE_DESCRIPTION,OBJECTID,SHAPE,LICENCE_ACCOUNT_NUMBER,LICENSE_LOCATION
ROYAL COLUMBIA DEVELOPMENT COR,General Contractor,1566,1566 - Contractors,,,4089112,NON-RESIDENT
CENTURION MECHANICAL WEST LTD.,PLUMBING & GAS-FITTING & HVAC/SHEET METAL CONTRACTOR,1566,1566 - Contractors,,,4080935,NON-RESIDENT
UNWINED TOURS,WINE TOURS,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4085793,NON-RESIDENT
OPTIMUM IRRIGATION,IRRIGATION,1566,1566 - Contractors,,,4079265,NON-RESIDENT
0972032 BC LTD,Contractor,1566,1566 - Contractors,,,4087635,NON-RESIDENT
MENARD CANADA INC,vibro densification dynamic compaction,1566,1566 - Contractors,,,4087829,NON-RESIDENT
1263256 BC LTD.,"Home builder, manage the entire process of building new single and multi family homes",1566,1566 - Contractors,,,4088036,NON-RESIDENT
IDL PROJECTS INC.,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4080907,NON-RESIDENT
TRYLON TSF,"TELECOMMUNICATIONS TOWER FABRICATION, INSTALLATION AND EQUIPMENT PROVIDER",1566,1566 - Contractors,,,4083675,NON-RESIDENT
"MILLIGAN, RYAN",Contractor,1566,1566 - Contractors,,,4088959,NON-RESIDENT
PROVINCIAL ELECTRICAL SERVICES INC.,Electrical installation and repairs,1566,1566 - Contractors,,,4088404,NON-RESIDENT
UNITED PAINTING LTD.,General Construction,1566,1566 - Contractors,,,4088642,NON-RESIDENT
LITTLE MISS SEW & SEW,HOME HANDICRAFT,8032,8032 - Art and Home Handicrafts,,,4081200,NON-RESIDENT
COMPLETE SECURITY INSTALLS,SECURITY ALARM INSTALLATION COMPANY,7420,7420 - Security Serv/Investigation/Collections,,,4085536,NON-RESIDENT
ULTRA PAINTING,PAINTING & DECORATING CONTRACTOR,1566,1566 - Contractors,,,4063442,NON-RESIDENT
KETTLE VALLEY SERVICES,Commercial Cleaning,8036,8036 - Janitor And/Or Window Cleaning,,,4087077,NON-RESIDENT
ECO EDGE DEVELOPMENTS,General Contracting & Construction,1566,1566 - Contractors,,,4089061,NON-RESIDENT
ETNA TILE & STONE,RENOVATION CONTRACTOR,1566,1566 - Contractors,,,4079406,NON-RESIDENT
KD FOUNDATIONS INC,CEMENT AND/OR CONCRETE CONTRACTOR - CONCRETE FORMING,1566,1566 - Contractors,,,4085408,NON-RESIDENT
ICON BUILDERS INC,"General Contractor services, interior renovation, and new build",1566,1566 - Contractors,,,4088565,NON-RESIDENT
BUNNY RIDE TRANSPORTATION INC,E-SCOOTER RENTAL,8012,8012 - Car/Truck/Rec Veh Rental/Leasing,,,4083705,NON-RESIDENT
IONKIN DESIGN INC.,Residential Home design and drafting services.,1566,1566 - Contractors,,,4087276,NON-RESIDENT
KIWI VENTURES,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4060667,NON-RESIDENT
PETROCOM CONSTRUCTION LTD,GENERAL CONTRACTOR,1566,1566 - Contractors,,,4084758,NON-RESIDENT
ZIP DOCKLESS INC.,MACHINE OR EQUIPMENT RENTAL,8050,8050 - Machine & Equipment Rental,,,4083757,NON-RESIDENT
1269369 B.C. LTD.,General Construction Contractors,1566,1566 - Contractors,,,4086867,NON-RESIDENT
SUNOKA COMPUTER SERVICES,COMPUTER SALES & SERVICE FOR HARDWARE AND SOFTWARE,8060,8060 - Office Equip/Supplies  (Sales & Service),,,4060562,NON-RESIDENT
PETERSON CONTRACTING LTD,CONTRACTORS - CRUSHING (GLENMORE LANDFILL),1566,1566 - Contractors,,,4068062,NON-RESIDENT
ROLL TECHNOLOGIES INC,MACHINE OR EQUIPMENT RENTAL,8050,8050 - Machine & Equipment Rental,,,4083915,NON-RESIDENT
IHM MECHANICAL LTD.,Electrical Contactor,1566,1566 - Contractors,,,4089317,NON-RESIDENT
FATEH CONSTRUCTION LTD.,Framing Contractors,1566,1566 - Contractors,,,4088598,NON-RESIDENT
ACRES ENTERPRISES LTD.,CIVIL CONSTRUCTION,1566,1566 - Contractors,,,4079208,NON-RESIDENT
METRONOME INVESTMENTS LIMITED,CONSULTING SERVICES - AIRPORT OPERATIONS AND SAFETY MANAGEMENT SYSTEMS,3340,"3340 - Management, Administration & Consultants",,,4085113,NON-RESIDENT
SUMMIT BROOKE CONSTRUCTION CORP,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4082213,NON-RESIDENT
SUPERIOR SIGNS & GRAPHICS INC.,Signage Manufacturer,3300,3300 - Mail Order or Outside Merchant Sales,,,4087994,NON-RESIDENT
SMITH BROWNLEE & ASSOCIATES INC.,PUBLIC SAFETY CONSULTING SERVICES,3340,"3340 - Management, Administration & Consultants",,,4080050,NON-RESIDENT
CREATIVE DESIGNS,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4071980,NON-RESIDENT
KNIGHT SIGNS DIVISION OF PACIFIC SIGN GROUP INC,SIGN PRINTER/WRITER,8080,8080 - Sign Printer/Writer,,,4061865,NON-RESIDENT
PALADIN TECHNOLOGIES INC.,"Voice, Data Commuincations & Wireless Solution Installation",1566,1566 - Contractors,,,4086778,NON-RESIDENT
PURE TECHNOLOGIES LTD,"MANAGEMENT, SCIENTIFIC AND TECHNICAL CONSULTING SERVICES",3350,3350 - Management Company - Property,,,4080569,NON-RESIDENT
7175337 CANADA CORP.,Sales & Installation of Windows and Doors,1566,1566 - Contractors,,,4088944,NON-RESIDENT
REDDEN NET CUSTOM NETS LTD,CUSTOM NETTING FABRICATION,1566,1566 - Contractors,,,4083703,NON-RESIDENT
OKANAGAN FOODIE TOURS,WALKING TOURS,8000,"8000 - Personal, Household & Other Services",,,4076692,NON-RESIDENT
DOGWOOD NURSERY & LANDSCAPING,CONTRACTOR - UNDERGROUND SPRINKLER SYSTEMS (INCL LANDSCAPING & GARDENING),1566,1566 - Contractors,,,4009366,NON-RESIDENT
GUARDTECK SECURITY CO.,"SECURITY GUARD SERVICES, MOBILE PATROL, ALARM MONITORING AND RESPONSE",7420,7420 - Security Serv/Investigation/Collections,,,4085958,NON-RESIDENT
YOUNG CONTRACTING,Asphalt repairs,1566,1566 - Contractors,,,4089088,NON-RESIDENT
PRESTIGE SUPERIOR HOMES LTD,Licensed Builder,1566,1566 - Contractors,,,4088192,NON-RESIDENT
MGM CONSTRUCTION LTD.,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4081730,NON-RESIDENT
APAC INVESTIGATIONS,SECURITY INVESTIGATION SERVICE,7420,7420 - Security Serv/Investigation/Collections,,,4080903,NON-RESIDENT
SKIP THE DITCHES INC.,Designated Driver Service,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4087667,NON-RESIDENT
PJS SYSTEMS INC.,AV INSTALLATION CONTRACTORS,1566,1566 - Contractors,,,4084106,NON-RESIDENT
WINDLE PLUMBING & HEATING,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,,,4067278,NON-RESIDENT
R3 CLEANING INC,CONSTRUCTION CLEANING (MORE THAN 3),8036,8036 - Janitor And/Or Window Cleaning,,,4080209,NON-RESIDENT
CONVERGE CONSTRUCTION LTD,General Contractor,1566,1566 - Contractors,,,4089060,NON-RESIDENT
V-TWIN,MOTORCYCLE TRAINING,8065,8065 - Commercial or Private Schools & Training Services,,,4061760,NON-RESIDENT
METAMORPHOSIS MOBILE FOOT CARE & REFLEXOLOGY,MOBILE SENIOR SUPPORT,2550,2550 - Health Services,,,4081656,NON-RESIDENT
DAWSON WALLACE CONSTRUCTIONLTD,General Contractor,1566,1566 - Contractors,,,4087283,NON-RESIDENT
SHEARWALL TRIFORCE INCORPORATE,Contractor,1566,1566 - Contractors,,,4088035,NON-RESIDENT
A & B PLUMBING AND HEATING LTD,Plumbing Service Repairs,1566,1566 - Contractors,,,4089154,NON-RESIDENT
DEHAL MECHANICAL 2017 INC.,General Contractor,1566,1566 - Contractors,,,4088261,NON-RESIDENT
ASPLUNDH CANADA ULC,CONTRACTOR - UTILITY CLEARING,1566,1566 - Contractors,,,4065150,NON-RESIDENT
KELOWNA RESORT PLUMBING SERVICE,PLUMBING CONTRACTOR,1566,1566 - Contractors,,,4083538,NON-RESIDENT
MARTECH CONSTRUCTION LTD,"Electrical, Renovations Commercial and Residential, Flooring, Painting, Drywall, Handyman",1566,1566 - Contractors,,,4088770,NON-RESIDENT
DIXON HEATING & SHEET METAL LTD,HVAC company,1566,1566 - Contractors,,,4088651,NON-RESIDENT
GES SIGNS INC,SIGN MAINTENANCE,8080,8080 - Sign Printer/Writer,,,4064955,NON-RESIDENT
JS FERGUSON CONSTRUCTION INC,CIVIL WORKERS CONTRACTORS,1566,1566 - Contractors,,,4077353,NON-RESIDENT
NULOOK BUILDERS,Home Renovations,1566,1566 - Contractors,,,4086999,NON-RESIDENT
QM LP (DBA QM ENIRONMENTAL),"ENVIRONMENTAL REMEDIATION, EMERGENCY RESPONSE, HAZMAT ABATEMENT SERVICES",1566,1566 - Contractors,,,4079637,NON-RESIDENT
NEDCABAN MANAGEMENT INC.,CARRIER - 2 VEHICLES,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4079753,NON-RESIDENT
AT&D AEROSPACE TECHNOLOGIES & DEVELOPMENT INC,CONSULTANT OF AEROSPACE TECHNOLOGIES,3340,"3340 - Management, Administration & Consultants",,,4036729,NON-RESIDENT
INVENT AD COMMUNICATIONS / PROFILE MAGAZINE,ADVERTISING/PUBLISHER,3606,3606 - Newspaper Publisher - Other,,,4031326,NON-RESIDENT
AHA PLUMBING & HEATING LTD,PLUMBING ONLY - NO GAS TICKETS,1566,1566 - Contractors,,,4089040,NON-RESIDENT
AIR MARK AC & HEATING LTD.,Sheet Metal Only - No Gas,1566,1566 - Contractors,,,4089258,NON-RESIDENT
CARRINGTON KELOWNA LAND DEVELOPMENTS LTD.,RESIDENTIAL LAND DEVELOPER,3350,3350 - Management Company - Property,,,4081166,NON-RESIDENT
STANLEY BLACK & DECKER CANADA CORP DBA STANLEY ACCESS TECHNOLOGIES,SALES/INSTALLATION OF AUTOMATIC DOOR,8081,8081 - Service & Maintenance of Small Appliances,,,4068953,NON-RESIDENT
CHICKY DROUILLARD & DAUGHTER,TRUCKING COMPANY,1566,1566 - Contractors,,,4067738,NON-RESIDENT
AERO CLEAN CARSON ENTERPRISES,JANITOR AND/OR WINDOW CLEANING/3 OR LESS,8036,8036 - Janitor And/Or Window Cleaning,,,4063619,NON-RESIDENT
LEADER HAZMAT LTD,demolition & Asbestos Abatement,1566,1566 - Contractors,,,4089241,NON-RESIDENT
VANTECH HOMES LTD,Renovation Contractor,1566,1566 - Contractors,,,4087724,NON-RESIDENT
ABSTRACT DESIGN & PAINTING,PAINTING CONTRACTOR,1566,1566 - Contractors,,,4032815,NON-RESIDENT
ABSOLUT CONSTRUCTION MANAGEMENT,General Contractor/Project Management,1566,1566 - Contractors,,,4087736,NON-RESIDENT
EBB ENVIRONMENTAL CONSULTING INC,ENVIRONMENTAL CONSULTANT,5099,5099 - Professional Services,,,4070736,NON-RESIDENT
LTS INFRASTRUCTURE SERVICES LP,FIBRE OPTIC INSTALLATION,1566,1566 - Contractors,,,4076170,NON-RESIDENT
RECTEC INDUSTRIES INC.,OTHER CONTRACTORS,1566,1566 - Contractors,,,4082484,NON-RESIDENT
UPA CONSTRUCTION GROUP (AB) LT,General contractor,1566,1566 - Contractors,,,4087370,NON-RESIDENT
BRB ON THE ROAD AGAIN MOTORCYCLE REPAIR SHOP,MOBILE MOTORCYCLE REPAIRS,8052,8052 - Machine & Equipment Sales/Service,,,4084058,NON-RESIDENT
STRONGHOLD ELECTRIC,Electrical contractor,1566,1566 - Contractors,,,4088465,NON-RESIDENT
SCORPIO PAINTING LTD,PAINTING CONTRACTOR,1566,1566 - Contractors,,,4087634,NON-RESIDENT
IRWIN AIR LTD,AIR COMPRESSOR CONTRACTORS,1566,1566 - Contractors,,,4061248,NON-RESIDENT
WEATHER SKIN KELOWNA,GENERAL CONTRACTORS,1566,1566 - Contractors,,,4085710,NON-RESIDENT
FRED WELSH LTD.,PLUMBING & GAS-FITTING & HEATING/AC CONTRACTOR,1566,1566 - Contractors,,,4081676,NON-RESIDENT
EXPRESS DRYWALL,DRYWALL CONTACTOR,1566,1566 - Contractors,,,4019140,NON-RESIDENT
BND LANDSCAPE MAINTENANCE,Landscape Maintenance,8042,8042 - Landscaping/Garden  (Service Only),,,4086995,NON-RESIDENT
REVELSTOKE CONNECTION LTD DBA EVERYTHING REVELSTOKE,Passenger Transportation from YLW to Revelstoke,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4086489,NON-RESIDENT
OFF THE DEEP END POOLS LTD,SWIMMING POOL CONTRACTOR,1566,1566 - Contractors,,,4075547,NON-RESIDENT
PRO QUALITY CLEANING SERVICE,RESIDENTIAL & COMMERCIAL CLEANING,8036,8036 - Janitor And/Or Window Cleaning,,,4073966,NON-RESIDENT
TRIPLE C SERVICES,COMMERCIAL CLEANING,8036,8036 - Janitor And/Or Window Cleaning,,,4028978,NON-RESIDENT
NAHAL MECHANICALS LTD,"Plumbing,Heating and Gas Fitting",1566,1566 - Contractors,,,4087433,NON-RESIDENT
RG GARBERS CONTRACTING,GRAVEL TRUCK,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4080682,NON-RESIDENT
WESTBRIDGE HOMES,Contractor,1566,1566 - Contractors,,,4088128,NON-RESIDENT
ADVANCE FLOORING INC,FLOORING CONTRACTOR,1566,1566 - Contractors,,,4074115,NON-RESIDENT
WILLIAM KELLY & SONS PLUMBING CONTRACTORS (1989) LTD,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,,,4081909,NON-RESIDENT
ARIES AIRFLO HEATING & AIR CON,"Heating, Ventilation & Air Conditioning",1566,1566 - Contractors,,,4088853,NON-RESIDENT
TEAM ROCHON INC,Synthetic Turf Installers for sports fields,1566,1566 - Contractors,,,4087713,NON-RESIDENT
MTS TRANSPORT LTD,CARRIER - TRUCKING,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4060568,NON-RESIDENT
VERTICAL GRAIN PROJECTS LTD.,GENERAL CONTRACTING,1566,1566 - Contractors,,,4084465,NON-RESIDENT
HOLD FAST RIGGING AND HOISTING,CRANE SERVICE,8042,8042 - Landscaping/Garden  (Service Only),,,4087951,NON-RESIDENT
NORTH GROVE HOMES,We build custom and spec homes,1566,1566 - Contractors,,,4087264,NON-RESIDENT
SOLIDEARTH LANDSCAPING LTD,Landscape construction and maintenance,8040,8040 - Landscaping/Garden  (Incl. Sale Shrubs),,,4087068,NON-RESIDENT
PROSPEX DEVELOPMENT,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4082680,NON-RESIDENT
WEDDELL ENTERPRISES INC.,"CARRIER - RESIDENT,NON-RESIDENT,TAXICAB",1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4081695,NON-RESIDENT
FIRE TECH FIRE PROECTION INC,Sprinkler System Installation,1566,1566 - Contractors,,,4088076,NON-RESIDENT
CHECKMATE FIRE PREVENTION INC,SERV/MAINT,8074,8074 - Service & Maintenance of Large Appliances,,,4074944,NON-RESIDENT
WESTSIDE PLUMBING & HEATING,PLUMBING & HEATING,1566,1566 - Contractors,,,4088051,NON-RESIDENT
LATINA LANDSCAPES & MAINTENANCE,LANDSCAPING/GARDEN  (SERV ONLY),8042,8042 - Landscaping/Garden  (Service Only),,,4082675,NON-RESIDENT
GEOSTABILIZATION INTERNATIONAL INC,Geohazard Mitigation and Design,5099,5099 - Professional Services,,,4086633,NON-RESIDENT
HDR CORPORATION,CIVIL ENGINEER,5099,5099 - Professional Services,,,4081176,NON-RESIDENT
DIALOG BC ARCHITECTURE ENGINEERING INTERIOR DESIGN PLANNING INC.,ARCHITECTURE,5099,5099 - Professional Services,,,4081161,NON-RESIDENT
HAWK CUSTOM SHEET METAL LTD.,Sheet Metal/HVAC,1566,1566 - Contractors,,,4088270,NON-RESIDENT
BOSTON DEVELOPMENT CORP,"BUILDING CONTRACTOR - CONSTRUCTION, RENOVATION AND NEW HOME BUILDS",1566,1566 - Contractors,,,4082598,NON-RESIDENT
BSG LAW,Law Firm,5099,5099 - Professional Services,,,4087981,NON-RESIDENT
ACCESS MECHANICAL PLUMBING AND HEATING,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,,,4065455,NON-RESIDENT
TASTEADVISOR,BUSINESS CONSULTING,3340,"3340 - Management, Administration & Consultants",,,4081503,NON-RESIDENT
WEST COAST HOME AND TRUSS LTD,ENGINEERED ROOF TRUSSES. CONSULTANT (NO MANUFACTURING),1566,1566 - Contractors,,,4082589,NON-RESIDENT
NORAVERA VISUALS,Video Production Company,8062,"8062 - Photography, Audio and/or Video Engineering or Production",,,4087709,NON-RESIDENT
0818969 B.C. LTD.,Custom Home Builder,1566,1566 - Contractors,,,4086569,NON-RESIDENT
T LEWIS TRUCKING & BULLDOZING LTD,CONTRACTOR - EXCAVATION,1566,1566 - Contractors,,,4022218,NON-RESIDENT
PROSTAR CONTRACTING,Contracting,1566,1566 - Contractors,,,4087073,NON-RESIDENT
ENVIROSUITE CANADA INC,Enviromental Monitoring,1566,1566 - Contractors,,,4086917,NON-RESIDENT
RAVEN RESCUE SAFEY MEDICAL LTD.,RESCUE SERVICE TRAINING,8065,8065 - Commercial or Private Schools & Training Services,,,4076411,NON-RESIDENT
WD MAGIC MAID CLEANING SERVICES,HOUSE CLEANING SERVICE (3 PERSONS OR MORE EMPLOYED),8036,8036 - Janitor And/Or Window Cleaning,,,4034254,NON-RESIDENT
SERCON REFRIGERATION LTD,HVAC/REFRIGERATION,1566,1566 - Contractors,,,4084746,NON-RESIDENT
HUEBERT HEATING LTD,GAS-FITTING CONTRACTOR,1566,1566 - Contractors,,,4083929,NON-RESIDENT
GK ELECTRIC LTD,Electrical Contractor,1566,1566 - Contractors,,,4088483,NON-RESIDENT
GRANDSCAPE HOMES,LUXURY CUSTOM HOME BUILDER,1566,1566 - Contractors,,,4082658,NON-RESIDENT
572881107 ENTERPRISES DBA CH ENERGY,ELECTRICAL CONTRACTOR,1566,1566 - Contractors,,,4081296,NON-RESIDENT
TVC CONTRACTING LTD.,Home Building,1566,1566 - Contractors,,,4088694,NON-RESIDENT
COMPUGEN INC,IT Solution Provider,2650,2650 - Information Technology,,,4088008,NON-RESIDENT
DJ SILVICULTURE ULC,OBNOXIOUS WEED CONTROL,8090,8090 - Tree Topping/Tree Spraying,,,4072504,NON-RESIDENT
ACTIVE CANADAWIDE HVC SERVICES INC,FIRE PREVENTION CONTRACTORS,1566,1566 - Contractors,,,4085625,NON-RESIDENT
PACIFIC BEACH SERVICES INC.,Interior home renovations/restorations,1566,1566 - Contractors,,,4087976,NON-RESIDENT
MILANI PLUMBING HEATING & AIR CONDITIONING LTD,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,,,4086308,NON-RESIDENT
JACOBS CONSULTANCY CANADA INC.,ENGINEER/CONSULTANT/CONSTRUCTION,5099,5099 - Professional Services,,,4081073,NON-RESIDENT
UNIVERSAL ELITE DEVELOPMENTS,Construction,1566,1566 - Contractors,,,4088237,NON-RESIDENT
HCMA ARCHITECTURE + DESIGN,ARCHITECT,5099,5099 - Professional Services,,,4073840,NON-RESIDENT
WDH CONSTRUCTION,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4032533,NON-RESIDENT
ALEXIS MAINTENANCE,JANITOR AND/OR WINDOW CLEANING/3 OR LESS,8036,8036 - Janitor And/Or Window Cleaning,,,4037005,NON-RESIDENT
YAMA2GO2,MOBILE FOOD TRUCK,3500,3500 - Mobile Store or Vendor,,,4085964,NON-RESIDENT
FINELINE FENCING,Fencing Company,1566,1566 - Contractors,,,4086787,NON-RESIDENT
TEKA CONTRACTING LTD,GENERAL CONTRACTOR,1566,1566 - Contractors,,,4081143,NON-RESIDENT
SHARPSHOOTER CONSTRUCTION,General contractor,1566,1566 - Contractors,,,4087738,NON-RESIDENT
PLACE-CRETE SYSTEMS LP,Floor Leveling/Parkade Waterproofing,1566,1566 - Contractors,,,4087744,NON-RESIDENT
OMICRON ARCHITECTURE ENGINEERING CONSTRUCTION LTD.,ARCHITECTURE/CONSTRUCTION/DESIGN,1566,1566 - Contractors,,,4084399,NON-RESIDENT
0852100 BC LTD,FLOORING CONTRACTOR,1566,1566 - Contractors,,,4068355,NON-RESIDENT
KASIAN ARCHITECTURE INTERIOR DESIGN & PLANNING INC,ARCHITECT,5099,5099 - Professional Services,,,4078189,NON-RESIDENT
POLYCRETE RESTORATIONS LTD.,Structural Restoration & Waterproofing.,1566,1566 - Contractors,,,4087856,NON-RESIDENT
TECHNIFIELD CONTRACTING LTD,General Contractor,1566,1566 - Contractors,,,4088538,NON-RESIDENT
STEP ONE ESSENTIAL OILS,HOME HANDICRAFT - ONLINE SALES,8032,8032 - Art and Home Handicrafts,,,4081567,NON-RESIDENT
CHANDLER MANAGEMENT GROUP LTD,MANAGEMENT COMPANY,3350,3350 - Management Company - Property,,,4073158,NON-RESIDENT
HOSTED SFY LTD,INFORMATION TECHNOLOGY,2650,2650 - Information Technology,,,4073182,NON-RESIDENT
WATERS DEVELOPMENT MANAGEMENT,Development and Project Management Services,5099,5099 - Professional Services,,,4088015,NON-RESIDENT
GO GREEN LAWN MAINTENANCE,LANDSCAPING/GARDEN  (SERV ONLY),8042,8042 - Landscaping/Garden  (Service Only),,,4071087,NON-RESIDENT
MCCOLMAN & SONS DEMOLITION LTD,DEMOLITION CONTRACTOR,1566,1566 - Contractors,,,4061263,NON-RESIDENT
CANADIAN LINEN & UNIFORM SERVICE,SALES & RENTAL OF COVERALLS/UNIFORMS/MATS,3000,3000 - Linen and/or Uniform Supply,,,4033114,NON-RESIDENT
RANGELAND MOBILE MEAT SHOP,Delivery - mobile freezer van delivering frozen meat products to consumers homes,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4086883,NON-RESIDENT
FOUR STAR DRYWALL INC.,"DRYWALL, INSULATION",1566,1566 - Contractors,,,4085709,NON-RESIDENT
AWARD CONSTRUCTION LTD.,General Contractor,1566,1566 - Contractors,,,4087720,NON-RESIDENT
JEAN LYSHOLT BOOKKEEPING,BOOKKEEPER,8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",,,4037983,NON-RESIDENT
HUMANE SOLUTIONS INC,Pest & Wildlife Control,1566,1566 - Contractors,,,4087572,NON-RESIDENT
CORONA GAS LTD,GAS-FITTING CONTRACTOR,1566,1566 - Contractors,,,4085392,NON-RESIDENT
MOUNTAIN WEST STUDIOS LTD,SCHOOL PHOTOGRAPHY,8062,"8062 - Photography, Audio and/or Video Engineering or Production",,,4028844,NON-RESIDENT
CUSTOM ELECTRIC,ELECTRICAL CONTRACTOR,1566,1566 - Contractors,,,4086312,NON-RESIDENT
1286122 BC LTD,Handyman Services,1566,1566 - Contractors,,,4087070,NON-RESIDENT
"MANGAT, KULDIP S",Builder,1566,1566 - Contractors,,,4087587,NON-RESIDENT
A&E GENERAL CONSTRUCTION LTD,General Contractor,1566,1566 - Contractors,,,4088677,NON-RESIDENT
GHS CUSTOM HOMES LTD,CONSTRUCTION CONTRACTOR,1566,1566 - Contractors,,,4084142,NON-RESIDENT
CT CONTROL TEMP LTD.,REFRIGERATION CONTRACTOR,1566,1566 - Contractors,,,4089117,NON-RESIDENT
DLP ELECTRICAL,Electrical Contractor,1566,1566 - Contractors,,,4089209,NON-RESIDENT
UI TECHNOLOGIES INC,"Wireless telecommunication repair, maintenance and new site installation",1350,1350 - Communications,,,4088814,NON-RESIDENT
EL EMPIRE LANDSCAPING LTD,LANDSCAPE CONSTRUCTION,1566,1566 - Contractors,,,4077951,NON-RESIDENT
LAUNCH CODE PRODUCTIONS,MUSIC CREATION & ARTIST DEVELOPMENT,1650,1650 - Creative or Performing Arts,,,4086211,NON-RESIDENT
DIRT BUSTER,JANITORIAL SERVICE (3 PERSONS OR LESS EMPLOYED),8036,8036 - Janitor And/Or Window Cleaning,,,4034394,NON-RESIDENT
NRG BC CONCRETE SPECIALISTS LTD,CEMENT AND/OR CONCRETE CONTRACTOR,1566,1566 - Contractors,,,4079399,NON-RESIDENT
ARTISTIC SIGN SERVICE LTD,SIGN PRINTER/WRITER,8080,8080 - Sign Printer/Writer,,,4078501,NON-RESIDENT
APEX TELECOM CONSTRUCTION CORP,Telecommunications Construction,1566,1566 - Contractors,,,4088205,NON-RESIDENT
RIVIERS ELECTRIC SERVICES INC.,Temporary power,1566,1566 - Contractors,,,4088880,NON-RESIDENT
AVID HOMES LTD,GENERAL CONTRACTORS - RENOVATOR,1566,1566 - Contractors,,,4085534,NON-RESIDENT
ARCWIFI CORPORATION,IT TECHNICIANS WIFI/INTERNET,2650,2650 - Information Technology,,,4080639,NON-RESIDENT
G DAUNCEY CONTRACTING,"Site services, general contracting",1566,1566 - Contractors,,,4088623,NON-RESIDENT
K KAMINSKI CONSTRUCTION LTD,CONTRACTOR - BUILDING,1566,1566 - Contractors,,,4000337,NON-RESIDENT
VANMAR CONSTRUCTORS 1085 INC.,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4080804,NON-RESIDENT
ESSENDON PLUMBING LTD,Plumbing Contractor,1566,1566 - Contractors,,,4088314,NON-RESIDENT
CARSCADDEN STOKES MCDONALD ARCHITECTS INC,ARCHITECT,5099,5099 - Professional Services,,,4083732,NON-RESIDENT
CRAIG CONSTRUCTION INC,COMMERCIAL GENERAL CONTRACTOR,1566,1566 - Contractors,,,4084528,NON-RESIDENT
CLEAN REFLECTIONS,RESIDENTIAL CLEANING COMPANY,8036,8036 - Janitor And/Or Window Cleaning,,,4082600,NON-RESIDENT
BRIGADE TECHNOLOGIES INC,Fibre Optic Installation,1566,1566 - Contractors,,,4088945,NON-RESIDENT
PREMIER BUILDING SOLUTIONS LTD,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4081477,NON-RESIDENT
ICON INSULATION WESTERN CANADA,INSULATION CONTRACTOR,1566,1566 - Contractors,,,4086172,NON-RESIDENT
AGG DEVELOPMENTS INC DBA ROCKWOOD CUSTOM HOMES,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4080679,NON-RESIDENT
CAPSTONE ENTERPRISES INC,General contractor,1566,1566 - Contractors,,,4086846,NON-RESIDENT
SUTTON ROAD MARKING,OTHER CONTRACTORS,1566,1566 - Contractors,,,4078302,NON-RESIDENT
EBK CONSTRUCTION,EXCAVATING/BULLDOZING CONTRACTOR - OOT BUSINESS LICENCE,1566,1566 - Contractors,,,4079773,NON-RESIDENT
SITKA FIRE PROTECTION INC,CONTRACTOR - TESTING & INSPECTIONS OF FIRE EQUIPMENT SYSTEMS,1566,1566 - Contractors,,,4073717,NON-RESIDENT
AZARA HOMES LTD,Home Builder,1566,1566 - Contractors,,,4087228,NON-RESIDENT
TREHAN CONSULTING GROUP INC.,Security Alarm Sales,7420,7420 - Security Serv/Investigation/Collections,,,4087960,NON-RESIDENT
